epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.133,2.4344,2.79539,1.37524,0.68131,0.62893,0.66419,0.2362,2.15032,1.81969,1.26356,0.000665882,0.000665882,0.000665882
2,202.61,1.89513,1.96403,1.15343,0.7247,0.66638,0.6933,0.29272,1.95273,1.70796,1.23793,0.00120063,0.00120063,0.00120063
3,304.423,1.82102,1.7716,1.13733,0.71646,0.6478,0.70171,0.31365,1.84325,1.76488,1.17967,0.00160337,0.00160337,0.00160337
4,400.216,1.7221,1.64734,1.0789,0.7681,0.66667,0.77237,0.3602,1.78582,1.36402,1.1597,0.001406,0.001406,0.001406
5,503.564,1.7052,1.56273,1.09888,0.75019,0.70283,0.76324,0.3389,1.90335,1.34446,1.17407,0.001208,0.001208,0.001208
6,604.634,1.67037,1.53461,1.07065,0.76343,0.6761,0.75379,0.35764,1.67484,1.55007,1.12489,0.00101,0.00101,0.00101
7,704.534,1.61098,1.46316,1.05937,0.7545,0.71033,0.79575,0.38355,1.71263,1.49486,1.13303,0.000812,0.000812,0.000812
8,802.963,1.61519,1.40195,1.05826,0.73957,0.72956,0.78905,0.35355,1.84199,1.32988,1.1556,0.000614,0.000614,0.000614
9,897.123,1.57528,1.37568,1.04717,0.73069,0.71671,0.78258,0.37436,1.7238,1.31387,1.12485,0.000416,0.000416,0.000416
10,988.371,1.5474,1.32928,1.036,0.74027,0.73495,0.79433,0.35899,1.86543,1.32002,1.15655,0.000218,0.000218,0.000218
